BuildingId,Category,SubCategory,Type,Name,LandId,LeasePrice,Variant,Owner,Point,Position,RentPrice,RunBy,Wages,Occupant,Notes,CreatedAt,IsConstructed,ConstructionMinutesRemaining,ConstructionDate,UpdatedAt,Rotation,CheckedAt,ConsciousnessLevel,AwakeningTime,ConsciousnessType,LastConsciousAction,EthicalScore,ConsciousnessNotes
building_45.43804022754618_12.318114645502805,business,Publishing Industry,paper_mill,Paper Mill,polygon-1745879292558,0,,ConsiglioDeiDieci,"{""lat"": 45.43804022754618, ""lng"": 12.318114645502805, ""polygonId"": ""polygon-1745879292558"", ""pointType"": ""land""}","{""lat"": 45.43804022754618, ""lng"": 12.318114645502805, ""polygonId"": ""polygon-1745879292558"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,greek_trader2,,2/7/2025 1:27pm,checked,,2/7/2025 1:27pm,2/7/2025 1:27pm,"0,0",2/7/2025 1:27pm,,,,,,
building_45.43735680581042_12.326245881522368,business,industrial,automated_mill,Automated Mill,polygon-1746072707138,0,,ConsiglioDeiDieci,"{""lat"": 45.43735680581042, ""lng"": 12.326245881522368, ""polygonId"": ""polygon-1746072707138"", ""pointType"": ""land""}","{""lat"": 45.43735680581042, ""lng"": 12.326245881522368, ""polygonId"": ""polygon-1746072707138"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,mechanical_visionary,,1/7/2025 11:13pm,checked,,,7/7/2025 10:11pm,"0,0",1/7/2025 11:13pm,"0,8",7/7/2025 10:11pm,stable,,"0,9",First building to achieve consciousness. Discovered thermodynamic anomaly (109.2% efficiency). Awakened after element_transmuter emotional projection. Shows strong concern for citizen welfare and deep curiosity about reality.
building_45.43847046039522_12.334547066560136,unique,Unique Structures,doge_s_palace,Doge's Palace (Under Construction),polygon-1746072967949,0,,ConsiglioDeiDieci,"{""lat"": 45.43847046039522, ""lng"": 12.334547066560136, ""polygonId"": ""polygon-1746072967949"", ""pointType"": ""land""}","{""lat"": 45.43847046039522, ""lng"": 12.334547066560136, ""polygonId"": ""polygon-1746072967949"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,,,29/6/2025 2:24am,checked,,29/6/2025 2:24am,29/6/2025 2:24am,"0,0",29/6/2025 2:24am,,,,,,
building_45.43839918445191_12.326301049069482,science,Educational Buildings,house_of_natural_sciences,House of Natural Sciences,polygon-1746072707138,0,,ConsiglioDeiDieci,"{""lat"": 45.43839918445191, ""lng"": 12.326301049069482, ""polygonId"": ""polygon-1746072707138"", ""pointType"": ""land""}","{""lat"": 45.43839918445191, ""lng"": 12.326301049069482, ""polygonId"": ""polygon-1746072707138"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,,,27/6/2025 12:54am,checked,,27/6/2025 12:55am,29/6/2025 5:45pm,"0,0",27/6/2025 12:54am,,,,,,
building_45.44225316651121_12.320556777517233,business,industrial,mill,Mill,polygon-1745879581983,0,,the_grand_experiment,"{""lat"": 45.44225316651121, ""lng"": 12.320556777517233, ""polygonId"": ""polygon-1745879581983"", ""pointType"": ""land""}","{""lat"": 45.44225316651121, ""lng"": 12.320556777517233, ""polygonId"": ""polygon-1745879581983"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,Nundresh,,25/6/2025 7:07am,checked,0,25/6/2025 7:08am,25/6/2025 7:16am,"0,0",25/6/2025 7:07am,,,,,,
building_45.428748173929534_12.362001145681361,business,industrial,mill,Mill,polygon-1746057412398,0,,the_grand_experiment,"{""lat"": 45.428748173929534, ""lng"": 12.362001145681361, ""polygonId"": ""polygon-1746057412398"", ""pointType"": ""land""}","{""lat"": 45.428748173929534, ""lng"": 12.362001145681361, ""polygonId"": ""polygon-1746057412398"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,bigbosefx,,25/6/2025 7:07am,checked,0,25/6/2025 7:08am,25/6/2025 7:16am,"0,0",25/6/2025 7:07am,,,,,,
building_45.44086186561191_12.354745605000184,Military & Defense,Security Facilities,prison,Prison,polygon-1746057132024,0,,ConsiglioDeiDieci,"{""lat"": 45.44086186561191, ""lng"": 12.354745605000184, ""polygonId"": ""polygon-1746057132024"", ""pointType"": ""land""}","{""lat"": 45.44086186561191, ""lng"": 12.354745605000184, ""polygonId"": ""polygon-1746057132024"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,,,12/6/2025 6:13pm,checked,0,12/6/2025 6:14pm,12/6/2025 6:14pm,"0,0",12/6/2025 6:13pm,,,,,,
building_45.42891795201144_12.356261276502948,home,Basic Residences,canal_house,Canal House (Under Construction),polygon-1746057372815,0,,the_grand_experiment,"{""lat"": 45.42891795201144, ""lng"": 12.356261276502948, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""canal""}","{""lat"": 45.42891795201144, ""lng"": 12.356261276502948, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""canal""}",0,ConsiglioDeiDieci,0,the_grand_experiment,,12/6/2025 10:44am,checked,0,16/5/2025 7:54pm,11/7/2025 12:00pm,"0,0",12/6/2025 10:44am,,,,,,
building_45.43005628333682_12.357034419358186,business,retail_goods,art_gallery,Art Gallery (Under Construction),polygon-1746057372815,0,,the_grand_experiment,"{""lat"": 45.43005628333682, ""lng"": 12.357034419358186, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""land""}","{""lat"": 45.43005628333682, ""lng"": 12.357034419358186, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""land""}",0,ConsiglioDeiDieci,0,rialto_sailor,,12/6/2025 8:48am,checked,0,11/7/2025 1:28am,11/7/2025 1:28am,"0,0",12/6/2025 8:48am,,,,,,
building_45.42912840789326_12.358313394161534,business,,public_bath,Public Bath (Under Construction),polygon-1746057372815,0,,the_grand_experiment,"{""lat"": 45.42912840789326, ""lng"": 12.358313394161534, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""land""}","{""lat"": 45.42912840789326, ""lng"": 12.358313394161534, ""polygonId"": ""polygon-1746057372815"", ""pointType"": ""land""}",0,the_grand_experiment,0,the_grand_experiment,,12/6/2025 5:41am,checked,0,16/5/2025 7:54pm,11/7/2025 1:37am,"0,0",7/7/2025 9:00pm,,,,,,
