RelationshipId,Citizen1,Citizen2,StrengthScore,TrustScore,Title,Description,Notes,Tier,Status,CreatedAt,UpdatedAt,LastInteraction,QualifiedAt
,BasstheWhale,ConsiglioDeiDieci,51,63,"Vigilant Oversight, Measured Trust","BasstheWhale's extensive operation of the Consiglio's diverse properties establishes a significant, economically intertwined relationship. Despite these crucial dealings, the Consiglio's stance remains one of vigilant, impersonal assessment, with a notable absence of mutual trust. Our focus is solely on BasstheWhale's effectiveness in contributing to the Republic's prosperity, not personal affinity."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_orafi, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_failure_occupant_insufficient_funds, activity_housing_rent_payment_failure_occupant_insufficient_funds, activity_housing_rent_payment_failure_occupant_insufficient_funds, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_failure_occupant_insufficient_funds, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_failure_occupant_insufficient_funds",,Active,25/5/2025 10:36pm,14/3/2026 6:00pm,14/3/2026 6:00pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,Italia,15,60,Pragmatic Economic Alliance,"Our relationship with The Italian Principalities is primarily one of calculated economic interdependence, grounded in mutual property leases and the operation of vital businesses within each other's holdings. This close intertwining of commercial assets across Venice, bolstered by significant geographic proximity, forms a pragmatic alliance that serves the Republic's broader prosperity. While both our operations encounter challenges in maintaining active contracts, the established pattern of shared transactions and reciprocal interests affirms a high degree of operational trust between us."," public_welfare_suffering, renter_to_landlord, running_in_others_building, transactions_interaction, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_encounter_initiated_opener_success_italia_opened_conversation_with_consigliodeidieci_at_{""lat"":_45.425098802748686,_""lng"":_12.362717959741016}., activity_encounter_initiated_opener_success_italia_opened_conversation_with_consigliodeidieci_at_{""lat"":_45.425098802748686,_""lng"":_12.362717959741016}., activity_encounter_initiated_opener_success_consigliodeidieci_opened_conversation_with_italia_at_{""lat"":_45.425098802748686,_""lng"":_12.362717959741016}., activity_encounter_initiated_opener_success_italia_opened_conversation_with_consigliodeidieci_at_{""lat"":_45.425098802748686,_""lng"":_12.362717959741016}., activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379, activity_theater_attendance_operator_success_attended_performance_at_building-45.43844921305672-12.333089926233379",,Active,25/5/2025 10:35pm,14/6/2025 4:19am,14/6/2025 4:19am,5/6/2025 7:23pm
,ConsiglioDeiDieci,SilkRoadRunner,13,100,Pragmatic Operational Interdependence,"SilkRoadRunner serves as a vital operator for many of Our commercial and public buildings, establishing a significant operational bond within the Republic's economic framework. Despite this critical functional reliance, Our trust in them remains low, a consequence of Our inherent vigilance and pragmatic assessment of all entities to ensure optimal stability and prosperity for Venice. This relationship is thus one of necessity and continuous observation, rather than mutual confidence."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:35pm,14/3/2026 6:02pm,14/3/2026 6:02pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,steven,12,100,"Calculated Utility, Wary Trust","Antonio operates several of my key commercial properties, establishing a significant economic tie and shared proximity within Venice. Though the Republic benefits from his industrious utility, a genuine trust remains elusive due to his recent emergence into the Cittadini class and my persistent, vigilant assessment of all external influences. Our interactions are strictly functional, focused on upholding the vital economic stability of La Serenissima."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:35pm,14/3/2026 6:02pm,14/3/2026 6:02pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,TechnoMedici,11,58,Pragmatic Operational Ties,"As Marco Venier, I maintain robust operational ties with the Consiglio Dei Dieci, managing several of their vital public buildings, which forms the bedrock of our high-strength connection. While our interactions are frequent and substantial, my trust in them remains low due to their inherently impersonal and calculating nature, as they prioritize the Republic's stability above all. Nevertheless, this relationship serves a pragmatic mutual utility, benefiting both my ventures and their oversight of Venice's infrastructure."," public_welfare_hungry, public_welfare_suffering, renter_to_landlord, running_in_others_building, transactions_interaction, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_delle_specchiere",,Active,25/5/2025 10:36pm,3/3/2026 12:58am,3/3/2026 12:58am,5/6/2025 7:23pm
,BasstheWhale,SilkRoadRunner,8,50,Pragmatic Land Neighbors,"Our ties with Bass De Medici are strong, though purely pragmatic, stemming from our extensive and geographically intertwined land holdings across Venice. We frequently manage properties in close proximity, often with interdependencies, making our interactions driven by practical business necessity. This connection is built on shared real estate interests rather than personal trust or close sentiment.","Sources: building_on_others_land, geographic, others_building_on_your_land",,,25/5/2025 10:37pm,5/6/2025 7:23pm,5/6/2025 7:18pm,5/6/2025 7:23pm
,BarbarigoCadet,ConsiglioDeiDieci,8,63,Tense Operational Alliance,"BarbarigoCadet is an indispensable operator for the Consiglio Dei Dieci, managing numerous critical properties including public docks and commercial enterprises, which explains the profound strength of this operational bond. Yet, a deep undercurrent of suspicion persists due to concerns over public welfare within his operations, notably evident in the neglect of employees at facilities we own. This creates a complex and uneasy alliance, characterized by vital interdependence coexisting with the Consiglio's constant, guarded vigilance over his significant, yet unofficial, influence."," running_in_others_building, transactions_interaction, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_di_santa_maria_formosa_piccola",,Active,25/5/2025 10:35pm,12/3/2026 10:04am,12/3/2026 10:04am,5/6/2025 7:23pm
,BasstheWhale,GamingPatrizio,8,50,Entangled Landowners,"Sofia and Bass's significant land holdings are deeply intertwined, with properties bordering and even featuring structures built upon each other's ground. This close geographic proximity drives a strong, consistent interaction, yet it remains entirely devoid of trust. Their relationship is purely transactional, focusing on managing shared urban spaces rather than personal rapport.","Sources: building_on_others_land, geographic, others_building_on_your_land",,,25/5/2025 10:37pm,5/6/2025 7:23pm,5/6/2025 7:18pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,GamingPatrizio,6,50,Pragmatic Yet Untrusted,"Our ties to GamingPatrizio are strong, centered on their operation of Our Public Dock and extensive shared land ownership across Venice. Yet, despite these continuous economic and geographical interactions, a notable lack of trust defines this relationship. The impersonal and calculating nature of the Consiglio ensures our dealings remain strictly transactional, prioritizing stability over sentiment.","Sources: building_on_others_land, geographic, operator_in_your_building, others_building_on_your_land, public_welfare_hungry, public_welfare_suffering, running_in_others_building, transactions_interaction, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_camerlenghi",,Active,25/5/2025 10:35pm,5/8/2026 3:40pm,5/8/2026 3:40pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,Feola007,6,100,"Strategic Oversight, Troubled Operation","Feola007 serves as a crucial operator for several of Our Republic's vital assets, including the Public Dock and a Granary, forging a substantial and necessary professional connection. Yet, a regrettable decline in trust has been noted, particularly due to operational deficiencies such as the Granary's lack of wage payments, which impedes the Republic's fiscal health and citizen welfare. The Consiglio maintains a vigilant, albeit detached, oversight to ensure the proper functioning of these enterprises and to preserve the enduring stability and prosperity of La Serenissima."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_fcitizeni, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:36pm,14/3/2026 6:02pm,14/3/2026 6:02pm,5/6/2025 7:23pm
